,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,SMA200,PL,Share,sold_price,exit_sold,bought_price,exit_bought
0,0,2017-01-02,536.91064453125,539.8824462890625,531.1403198242188,537.4554443359375,525.3798828125,3275674,,-483.021484375,8.0,1202.4024658203125,1262.7801513671875,930.92578125,537.4554443359375
1,1,2017-01-03,539.8081665039062,543.349609375,535.4742431640625,539.5852661132812,527.4617919921875,2969384,,-292.82421875,8.0,1230.0899658203125,1266.6929931640625,879.4635620117188,898.1860961914062
2,2,2017-01-04,541.31884765625,541.3683471679688,527.1531372070312,528.5647583007812,516.68896484375,4796129,,1487.40087890625,7.0,1316.1739501953125,1103.6881103515625,957.2760009765624,974.0172729492188
3,3,2017-01-05,530.4716796875,534.8798828125,529.3572387695312,533.6416015625,521.6517944335938,4030815,,1092.4443359375,8.0,1142.7181396484375,1006.16259765625,895.858154296875,934.9872436523438
4,4,2017-01-06,532.056640625,537.4059448242188,531.5117797851562,532.4281005859375,520.4655151367188,3620853,,1227.861328125,10.0,998.534912109375,875.748779296875,884.565185546875,874.4114379882812
5,5,2017-01-09,533.4434814453125,537.9012451171875,530.4716796875,533.7902221679688,521.7969970703125,2413173,,-1375.46142578125,10.0,934.54150390625,1072.087646484375,954.254638671875,986.9447631835938
6,6,2017-01-10,534.9293823242188,542.061767578125,534.9293823242188,539.8081665039062,527.6797485351562,5237984,,-423.931640625,9.0,1056.1883544921875,1103.2918701171875,922.6046142578124,925.0811767578124
7,7,2017-01-11,542.3590087890625,542.7056884765625,536.91064453125,537.926025390625,525.8399047851562,5296152,,-1120.23193359375,9.0,1070.3045654296875,1194.7747802734375,907.2501831054688,903.6839599609376
8,8,2017-01-12,538.3965454101562,540.0557861328125,534.830322265625,536.5639038085938,524.5083618164062,2017673,,-220.3115234375,8.0,1180.9556884765625,1208.49462890625,1004.6766967773438,998.4853515625
9,9,2017-01-13,537.1830444335938,543.5972290039062,537.1830444335938,540.08056640625,527.946044921875,3338688,,-276.181640625,8.0,1177.98388671875,1212.506591796875,956.7807006835938,969.7576904296876
